Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
341,2505,124,20.85047483444214,10000,341,375,479.6053845009498,17.98520191878562,3.0,3.0,25.05,58.63623,7.0,1.0,500.0,-0.01,0.099498756,0.0,-1.0,0.0,0.01,0.099498756,0.0,0.0,1.0,-0.0045660976,0.045432094,0.0,-0.45660976,0.0,-0.00012658228,0.0012594777,0.0,-0.012658228,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.29849628,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,495.62,43.580456,500.0,62.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.0264777,0.045719698,0.013151859,-0.07176516,0.20589551,0.0064672576,0.0077846227,0.0027380507,0.00037107937,0.03449014,0.0198285,0.04617853,0.0012033656,-0.11412785,0.20162277,0.0066492,0.012050464,0.0042727645,-0.07999103,0.042362668,1.1154207,0.12697257,1.0738991,0.6826493,1.3661134,-0.00050240586,0.013410936,-0.000646314,-0.052901052,0.118223175,0.0003999789,0.0031822105,1.5596603e-05,1.1186113e-06,0.039058257,-0.001519264,0.0001020679,-0.0015898389,-0.0016091228,-0.0013081543,1.1168427,0.124470286,1.079338,0.6797955,1.3211396,0.0001995658,0.000269983,0.00014577141,2.043334e-05,0.0022160567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6508253,0.45612037,0.5539188,0.08568501,2.2456496,1.5192636,0.102067895,1.5898389,1.3081542,1.6091228,4.5935187,0.4495438,4.9031963,3.699372,4.998424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,12483,249,43.56104564666748,20000,377,750,440.3235868742187,16.5121345077832,3.0,3.0,124.83,180.71701,25.0,1.0,500.0,-0.08,0.30594116,0.0,-1.0,1.0,0.1,0.3,0.0,0.0,1.0,-0.026871555,0.10877341,0.0,-0.6689718,0.014245816,-0.00089059776,0.0036872088,0.0,-0.024390243,0.002,1.36,9.02388,0.0,0.0,70.0,0.35,1.1346806,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.8,15.976232,500.0,350.0,500.0,468.59,105.57188,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.1267008,0.12942673,0.12451173,-0.18232562,0.43088183,0.0026183065,0.0016972675,0.0020265556,0.00066457,0.009708628,0.1265134,0.12977518,0.11701393,-0.19580613,0.43480515,0.00018740079,0.02396977,0.0022482614,-0.14692575,0.05992473,0.9779398,0.11634286,1.0177398,0.52409345,1.1864816,0.00039000766,0.025590513,-0.0022654824,-0.05992474,0.15074828,0.0024862518,0.008141817,0.00022864765,3.060574e-06,0.049376465,-0.001312308,7.222269e-05,-0.0013251055,-0.0014087968,-0.0011252058,0.9758637,0.11230202,1.0132014,0.5439829,1.1612908,0.0005123015,0.0003363052,0.0004000771,0.00012664715,0.0020222808,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1466941,0.50539434,1.0607442,0.31908667,2.9977725,1.312308,0.07222269,1.3251054,1.1252058,1.4087967,3.7254274,0.26245868,3.762589,3.08396,4.092262,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,21658,374,65.86998200416565,30000,397,1125,448.2508641268744,16.80940740475779,3.0,3.0,216.58,222.43713,97.5,1.0,500.0,-0.07,0.29171905,0.0,-1.0,1.0,0.09,0.28618172,0.0,0.0,1.0,-0.022305457,0.09985629,0.0,-0.6689718,0.014245816,-0.0007640155,0.0034932285,0.0,-0.024390243,0.002,1.36,9.02388,0.0,0.0,70.0,0.32,1.1034492,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.8,15.976232,500.0,350.0,500.0,472.97,97.38043,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.6771766,0.15845253,0.6684047,0.2765869,1.0173295,0.008211195,0.0045765033,0.0069186063,0.0025052517,0.02657758,0.6751367,0.16522498,0.66630614,0.24481778,1.0371232,0.0020400279,0.03435552,-9.915493e-05,-0.11404023,0.124305174,0.3508438,0.13791099,0.32390073,0.09032168,0.80430937,-0.0020964744,0.034344073,8.7331784e-05,-0.12504181,0.114040256,0.0025498427,0.005466797,0.00064262986,0.000100426805,0.039607447,-0.0009923631,9.686442e-05,-0.0009765856,-0.0011947708,-0.0006921529,0.3498247,0.14337043,0.31092426,0.069652215,0.8363676,0.0015581003,0.0008771854,0.0013152611,0.0004582924,0.005315516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2008481,0.53079075,1.1187446,0.22591667,3.2306612,0.9923631,0.09686441,0.9765855,0.69215286,1.1947707,2.7106473,0.25889742,2.6553955,1.9980417,3.3028176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,31432,499,88.1173951625824,40000,417,1500,449.490461151289,16.85589229317334,3.0,3.0,314.32,217.93187,500.0,1.0,500.0,-0.07,0.29171905,0.0,-1.0,1.0,0.09,0.28618172,0.0,0.0,1.0,-0.022305457,0.09985629,0.0,-0.6689718,0.014245816,-0.0007640155,0.0034932285,0.0,-0.024390243,0.002,1.36,9.02388,0.0,0.0,70.0,0.32,1.1034492,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.8,15.976231,500.0,350.0,500.0,472.97,97.38043,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.8195085,0.21849516,0.9062587,0.42633924,1.2523807,0.009856838,0.006244545,0.008168301,0.0021728452,0.032087453,0.81680113,0.22192697,0.8897544,0.41092533,1.2746575,0.0027072972,0.041485764,-0.0067540454,-0.120771244,0.13431172,0.26335132,0.101887345,0.25134528,0.06992805,0.7539285,-0.0027718404,0.041481733,0.0067493515,-0.1348669,0.12077125,0.0042781215,0.008607985,0.0010052247,2.329447e-05,0.051467896,-0.0009338771,0.0001014493,-0.0009621713,-0.0010833023,-0.00067275803,0.2608889,0.10048131,0.25021887,0.06265568,0.7773099,0.0018900181,0.0012197117,0.0015437857,0.00039691018,0.0064174905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1815356,0.58785397,1.0342869,0.18042924,2.9833415,0.93387705,0.101449296,0.96217126,0.672758,1.0833023,2.557714,0.24857275,2.6175122,1.9596535,2.9568956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,40857,624,110.30945944786072,50000,437,1875,450.61152813232246,16.89793230496209,3.0,3.0,408.57,170.15036,500.0,1.0,500.0,-0.07,0.29171905,0.0,-1.0,1.0,0.09,0.28618175,0.0,0.0,1.0,-0.022305457,0.09985629,0.0,-0.6689718,0.014245816,-0.0007640155,0.003493228,0.0,-0.024390243,0.002,1.36,9.02388,0.0,0.0,70.0,0.32,1.1034492,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.8,15.976231,500.0,350.0,500.0,472.97,97.38044,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.8594528,0.1853736,0.8744079,0.4786609,1.3608457,0.0101739885,0.005584408,0.0087629445,0.0015946252,0.029599,0.85832024,0.19019738,0.87415636,0.4763175,1.3862846,0.0011324966,0.041162487,-0.0008424705,-0.13873088,0.16598792,0.16528815,0.076198906,0.15095507,0.00911011,0.44534492,-0.0012020713,0.04124734,0.000780407,-0.17300919,0.1387309,0.0040927916,0.009543282,0.0011331209,9.622349e-05,0.061310135,-0.0008780741,5.725674e-05,-0.0008879221,-0.00097444747,-0.0007296897,0.16132732,0.074797854,0.14683536,0.027569681,0.47639903,0.0019481779,0.0010933392,0.001689005,0.00025699646,0.0060467967,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9842828,0.56160814,0.85195106,0.23082186,3.6786678,0.87807405,0.057256736,0.8879221,0.7296897,0.9744474,2.4108396,0.13483737,2.4301333,2.0744553,2.653874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,44521,749,132.52728176116943,60000,457,2250,450.0891158000616,16.878341842502312,3.0,3.0,445.21,135.3514,500.0,2.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.01376221,0.07347464,0.0,-0.6426116,0.0,-0.00045856315,0.0024828615,0.0,-0.022222223,0.0,0.58,5.770927,0.0,0.0,58.0,0.18,0.84118956,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.42,5.7709274,500.0,442.0,500.0,481.87,80.30401,500.0,27.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.1447786,0.38632563,1.035967,0.705815,2.2885108,0.015149424,0.009195855,0.012579612,0.003829401,0.04578819,1.1331971,0.38512442,1.0446612,0.696942,2.402124,0.011581463,0.06542309,0.0013962877,-0.35208043,0.18269438,0.32126537,0.21104057,0.2489782,0.027627595,1.0348737,-0.011445167,0.06564655,-0.0014192682,-0.18343179,0.35208043,0.009973587,0.025544597,0.0022032321,0.00015107341,0.22530958,-0.0009964322,8.172781e-05,-0.000966108,-0.0011861757,-0.00088115886,0.32082126,0.21087855,0.24048562,0.033152975,0.894604,0.002912114,0.0017948888,0.0023721538,0.00066396967,0.009233833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4993252,0.80352455,1.3430231,0.2901217,4.55936,0.9964321,0.08172782,0.96610796,0.8811588,1.1861757,2.718364,0.22931626,2.628602,2.4137301,3.274549,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,46835,874,154.78205132484436,70000,484,2625,449.34188023777057,16.850320508916397,3.0,3.0,468.35,98.55622,500.0,1.0,500.0,-0.08,0.27129322,0.0,-1.0,0.0,0.08,0.27129322,0.0,0.0,1.0,-0.015526941,0.069580965,0.0,-0.47534004,0.0,-0.00051467365,0.0020209744,0.0,-0.013333334,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0999999,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,475.25,88.56279,500.0,50.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.0828377,0.3139608,0.9990204,0.31339446,1.9078836,0.01378928,0.0070912126,0.012724238,0.003627201,0.05472814,1.0926068,0.31908476,1.0102575,0.25277075,2.031854,-0.009769076,0.06657135,-0.001206503,-0.28626245,0.17750183,0.4206037,0.23972528,0.344929,0.13586637,1.5333514,0.010046934,0.06809047,0.0011487745,-0.17833637,0.31992847,0.0111309355,0.02539746,0.0025000388,0.00028175884,0.19045371,-0.0010754602,7.744943e-05,-0.0010628331,-0.0013239079,-0.00097319216,0.3978286,0.21360035,0.3392422,0.11482146,1.6197199,0.0026726676,0.0014000396,0.0024956209,0.0007254402,0.010945628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3984802,0.6810046,1.2300361,0.41782832,3.5191233,1.0754601,0.077449426,1.0628331,0.9731921,1.3239079,2.942302,0.23945385,2.8960624,2.6464453,3.7708929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,46312,999,176.89011549949646,80000,504,3000,452.3236372484143,16.962136396815534,3.0,3.0,463.12,102.787766,500.0,1.0,500.0,-0.11,0.31288978,0.0,-1.0,0.0,0.11,0.31288978,0.0,0.0,1.0,-0.017219568,0.070187174,0.0,-0.47534004,0.0,-0.00061516854,0.002081625,0.0,-0.013333334,0.0,0.0,0.0,0.0,0.0,0.0,0.53,1.4591435,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,463.96,100.81417,500.0,50.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.981976,0.21273617,0.97669935,0.45057186,1.4207962,0.013144584,0.006135392,0.011932524,0.0033802905,0.04129256,0.9781902,0.21483423,0.9614342,0.44718704,1.3372458,0.0037858544,0.048035435,0.003384805,-0.20418361,0.14169775,0.25359926,0.12277206,0.22577237,0.07296373,0.7808798,-0.0036274358,0.048341542,-0.003379176,-0.14231765,0.20418362,0.007118013,0.013983187,0.0017259106,0.000118120326,0.083315864,-0.0009700441,5.077194e-05,-0.00096065557,-0.0010772711,-0.00089932955,0.24854152,0.11157332,0.22074082,0.074557066,0.6132777,0.0025371786,0.0012096828,0.0022751994,0.000671346,0.008258512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0883719,0.51074046,0.9516951,0.31962258,2.9909596,0.97004414,0.05077194,0.9606555,0.8993295,1.077271,2.6420686,0.13621514,2.613443,2.4580386,2.9366717,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,45539,1124,199.07319378852844,90000,526,3375,450.79406337146264,16.90477737642985,3.0,3.0,455.39,110.20334,500.0,1.0,500.0,-0.12,0.3249615,0.0,-1.0,0.0,0.12,0.3249615,0.0,0.0,1.0,-0.017681278,0.07022424,0.0,-0.47534004,0.0,-0.00064774184,0.002097171,0.0,-0.013333334,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.6364292,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,461.21,103.508286,500.0,50.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.1718111,0.2278259,1.1996739,0.7172352,1.7079157,0.015466759,0.008523683,0.0124731865,0.0044380156,0.03853014,1.1664027,0.22951877,1.177618,0.7056635,1.693929,0.0054084635,0.056723777,-0.0025282134,-0.16116008,0.16850713,0.22799344,0.117008895,0.20291984,0.043197256,0.64308864,-0.0049438,0.05798837,0.0025453896,-0.16850714,0.20553254,0.008278134,0.018117774,0.0018128619,0.00014830685,0.15620722,-0.0010065967,3.8991755e-05,-0.00102151,-0.0010621031,-0.00091721414,0.22272122,0.11394833,0.18786405,0.046062604,0.69087476,0.0029444988,0.0016505336,0.002423657,0.00072664855,0.0077060284,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.2790327,0.64705527,1.140815,0.2747589,4.5821066,1.0065967,0.03899175,1.0215099,0.9172141,1.062103,2.738554,0.10502924,2.777403,2.5023398,2.892468,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,45539,1249,221.17123866081238,100000,546,3750,452.5287217848994,16.96982706693373,3.0,3.0,455.39,110.20333,500.0,1.0,500.0,-0.12,0.3249615,0.0,-1.0,0.0,0.12,0.3249615,0.0,0.0,1.0,-0.017681278,0.07022424,0.0,-0.47534004,0.0,-0.00064774184,0.002097171,0.0,-0.013333334,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.6364292,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,461.21,103.508286,500.0,50.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.2449943,0.22434948,1.1782906,0.84019154,1.796875,0.016096763,0.008287016,0.013825828,0.00620498,0.048445355,1.2361487,0.22965612,1.1694723,0.8552238,1.8385451,0.008845571,0.05732055,-0.00041267741,-0.13607511,0.27379817,0.2034565,0.108527735,0.17445856,0.063446015,0.7391386,-0.008871082,0.057343364,0.00041461186,-0.27456686,0.13607815,0.008616506,0.023233574,0.0020397936,0.00013729249,0.20696339,-0.0010080658,2.6214288e-05,-0.0010071583,-0.0010555494,-0.0009575709,0.2016166,0.108332224,0.16655171,0.030722309,0.6473374,0.0031025233,0.0016299939,0.0026506241,0.0010767978,0.009689072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4667829,0.94477326,1.2229418,0.41958353,7.1317906,1.0080657,0.026214285,1.0071583,0.95757085,1.0555493,2.741548,0.07187589,2.737874,2.6054478,2.874813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
