Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
110,7625,124,18.388577222824097,10000,110,375,543.8158634474393,20.39309487927897,3.0,3.0,76.25,167.35736,7.0,1.0,500.0,0.0,0.14142135,0.0,-1.0,1.0,0.02,0.14,0.0,0.0,1.0,0.00076892256,0.04219563,0.0,-0.2574846,0.33437687,-5.3529413e-05,0.00076012634,0.0,-0.007352941,0.002,0.05,0.49749374,0.0,0.0,5.0,0.04,0.397995,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.93,40.49599,500.0,93.0,500.0,496.3,36.814537,500.0,130.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.939907,1.6664861,1.4645677,0.002103073,6.6632566,0.025134502,0.01931673,0.018677827,0.0010420606,0.1267555,1.9563489,1.706702,1.451,0.0015641336,6.7215796,-0.016441926,0.21850796,0.0124072265,-1.1291435,0.5503489,0.10453023,0.4777405,-0.0080890395,-0.42571846,3.338842,0.002497233,0.251741,-0.013429174,-1.1681889,1.1291436,0.10321392,0.31654814,0.00986277,4.9442217e-05,2.210716,-0.0011809259,0.00023708814,-0.0011281752,-0.0016092913,-0.00083535706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1252376,2.2884355,0.35469297,0.0047048572,16.580526,1.180926,0.23708814,1.1281751,0.835357,1.6092912,3.3560958,0.8551899,3.090056,2.3056598,4.9992676,nan,nan,nan,nan,nan,1.72,0.4489989,2.0,1.0,2.0,nan,nan,nan,nan,nan
22,17375,249,37.02485656738281,20000,132,750,536.5877928267762,20.122042231004105,3.0,3.0,173.75,227.18465,12.5,1.0,500.0,-0.02,0.24413113,0.0,-1.0,1.0,0.06,0.23748685,0.0,0.0,1.0,-0.0009781059,0.051258747,0.0,-0.2574846,0.33437687,-0.00016214923,0.0011308115,0.0,-0.007352941,0.002,0.14,0.87200916,0.0,0.0,7.0,0.16,0.7838367,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.51,50.49465,500.0,93.0,500.0,489.83,55.91548,500.0,129.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.4095004,0.8092633,0.9139494,0.555887,3.1142323,0.017869739,0.009892318,0.011988297,0.009111566,0.0512863,1.4198406,0.82256436,0.94516265,0.521291,3.139902,-0.010340314,0.116719544,0.011495986,-0.4491817,0.26215017,0.04298487,0.19027154,-0.011749733,-0.18740395,0.89474404,0.010381669,0.117143966,-0.011565743,-0.26608032,0.4491817,0.033621896,0.08652477,0.001034652,2.0006364e-05,0.5062541,-0.0010186959,5.044005e-05,-0.001026749,-0.0011168864,-0.0008791611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.71211135,1.0014296,0.29897514,0.008542641,5.3493643,1.0186958,0.050440043,1.026749,0.87916106,1.1168864,2.773966,0.13779344,2.7919888,2.408897,3.059565,nan,nan,nan,nan,nan,2.736,0.44079927,3.0,2.0,3.0,nan,nan,nan,nan,nan
23,27012,374,56.270612955093384,30000,155,1125,519.595062856845,19.48481485713169,3.0,3.0,270.12,238.23515,469.5,1.0,500.0,-0.01,0.3315117,0.0,-1.0,1.0,0.11,0.31288975,0.0,0.0,1.0,0.002008185,0.10339649,0.0,-0.49483865,0.46588078,-0.0003364522,0.0020418128,0.0,-0.014084507,0.002,0.29,1.2107437,0.0,0.0,7.0,0.27,1.1032225,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.29,84.86087,500.0,72.0,500.0,481.3,80.75871,500.0,60.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.6417615,0.751835,1.318004,0.58007586,3.6387591,0.020406375,0.010409357,0.016197933,0.010660063,0.060171474,1.6594087,0.77521163,1.3257056,0.6823521,3.6476803,-0.017647011,0.13264737,0.0030573057,-0.5395492,0.31232148,0.05502708,0.2204668,-0.0037081304,-0.27370247,1.1620103,0.018093549,0.13341284,-0.0030605318,-0.31386983,0.5395492,0.038052082,0.10245415,0.0006972622,1.8559296e-05,0.6425305,-0.0011185557,8.8556e-05,-0.0011145454,-0.0012897485,-0.00094893825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7279558,1.1617769,0.2398953,0.007243238,6.676645,1.1185557,0.08855599,1.1145453,0.9489382,1.2897484,3.0728276,0.27205798,3.048194,2.5829766,3.6318882,nan,nan,nan,nan,nan,3.784,0.4115143,4.0,3.0,4.0,nan,nan,nan,nan,nan
26,37041,499,75.28073382377625,40000,181,1500,526.0355822604963,19.72633433476861,3.0,3.0,370.41,197.89572,500.0,1.0,500.0,-0.09,0.4264974,0.0,-1.0,1.0,0.19,0.39230093,0.0,0.0,1.0,-0.015659101,0.13127004,0.0,-0.5048859,0.46588078,-0.0009137313,0.0030532875,0.0,-0.014492754,0.002,0.29,1.2107437,0.0,0.0,7.0,0.58,1.4978651,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.29,84.86087,500.0,72.0,500.0,456.73,117.17634,500.0,48.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.590367,0.45991185,1.4822968,0.8545307,2.9554896,0.02104359,0.00968672,0.017435255,0.01203117,0.05789439,1.6069856,0.4643982,1.5111496,0.8997372,2.9517164,-0.016618796,0.11337759,0.0070261518,-0.38009268,0.2743273,0.05408436,0.1784788,-0.0071454872,-0.24315326,0.8278352,0.016514264,0.11557326,-0.007008736,-0.2768162,0.4054322,0.03886237,0.08129763,0.001349005,1.8527931e-05,0.4237728,-0.001292278,5.7323432e-05,-0.0013129177,-0.0013724345,-0.0011326463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6937265,0.90396255,0.23707344,0.007295444,4.2857676,1.2922778,0.05732343,1.3129176,1.1326463,1.3724345,3.6470664,0.2051285,3.7171116,3.103865,3.9449992,nan,nan,nan,nan,nan,4.936,0.24475294,5.0,4.0,5.0,nan,nan,nan,nan,nan
20,43327,624,94.41139578819275,50000,201,1875,522.7210651989064,19.602039944958992,3.0,3.0,433.27,144.73395,500.0,1.0,500.0,-0.08,0.41665334,0.0,-1.0,1.0,0.18,0.38418746,0.0,0.0,1.0,-0.013084257,0.12900716,0.0,-0.5048859,0.46588078,-0.0008402018,0.0029851084,0.0,-0.014492754,0.002,0.29,1.2107437,0.0,0.0,7.0,0.54,1.4589037,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.29,84.86087,500.0,72.0,500.0,460.43,112.55133,500.0,48.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.5404942,0.7042257,1.1483909,0.8500229,3.0574574,0.01990951,0.011769406,0.014782444,0.010385183,0.08757925,1.5452102,0.71880674,1.1628462,0.81267387,3.065855,-0.0047158217,0.12484394,0.009836706,-0.4670493,0.5503476,0.031770863,0.17958933,-0.009733292,-0.3809076,0.9717942,0.004602227,0.12496204,-0.0098028695,-0.55444986,0.4670493,0.028236318,0.077156544,0.0011272804,1.8697338e-06,0.50543606,-0.0010676808,0.00022638436,-0.0011289474,-0.0013118116,-0.0006638982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6458865,1.0396572,0.21102348,0.0037684897,5.5284863,1.0676807,0.22638436,1.1289473,0.66389817,1.3118116,2.9799151,0.61735964,3.0924041,1.9423494,3.7130501,nan,nan,nan,nan,nan,5.696,0.4599826,6.0,5.0,6.0,nan,nan,nan,nan,nan
21,44622,749,113.34745121002197,60000,222,2250,528.0930889372102,19.80349083514538,3.0,3.0,446.22,134.35002,500.0,1.0,500.0,-0.06,0.36932367,0.0,-1.0,1.0,0.14,0.346987,0.0,0.0,1.0,-0.01328624,0.12192875,0.0,-0.5048859,0.46588078,-0.00073158205,0.002890888,0.0,-0.014492754,0.002,0.24,1.1146299,0.0,0.0,7.0,0.42,1.328006,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.36,75.42381,500.0,72.0,500.0,466.9,106.19327,500.0,48.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.1416006,0.32933366,1.0477382,0.57754594,2.0779498,0.013506047,0.0033984191,0.013078588,0.009235274,0.03550766,1.1611073,0.3480045,1.0532987,0.6190983,2.1564546,-0.01950642,0.07924551,0.01046628,-0.33244455,0.08608486,0.03347459,0.11557551,-0.01111151,-0.07319111,0.5646695,0.019493122,0.07919702,-0.010465218,-0.086495005,0.33244458,0.014781873,0.03811434,0.00019478897,3.0803284e-07,0.23300572,-0.0008004034,7.755991e-05,-0.00078210846,-0.0010014488,-0.000691693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.42052442,0.66371673,0.1472889,0.00310002,3.6347182,0.8004035,0.07755992,0.7821084,0.69169295,1.0014488,2.2338603,0.18159465,2.1861234,1.9970951,2.722237,nan,nan,nan,nan,nan,6.336,0.47233886,6.0,6.0,7.0,nan,nan,nan,nan,nan
21,44659,874,132.39359855651855,70000,243,2625,525.0405668965611,19.689021258621043,3.0,3.0,446.59,134.15327,500.0,1.0,500.0,-0.06,0.3954744,0.0,-1.0,1.0,0.16,0.36660606,0.0,0.0,1.0,-0.0072676404,0.12572405,0.0,-0.5048859,0.5416851,-0.0006685295,0.0027819949,0.0,-0.014492754,0.002,3.33,15.632694,0.0,0.0,132.0,0.44,1.2908912,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.08,117.76967,500.0,57.0,500.0,468.8,99.77043,500.0,48.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.6485561,0.6879416,1.6716696,0.61599404,3.162059,0.020861816,0.010600739,0.017809188,0.008712811,0.05375629,1.6582927,0.70839953,1.693276,0.60711133,3.1654353,-0.009736645,0.12577769,-0.00016002868,-0.4658548,0.3091848,0.04260738,0.19389361,0.000215078,-0.26457918,0.969137,0.009598395,0.12579748,0.00011413357,-0.3103533,0.4658548,0.033997603,0.08268361,0.0017850861,1.788739e-05,0.5040103,-0.00098862,0.00017781141,-0.0010781207,-0.0012457652,-0.00069017924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7123917,1.0681288,0.2521774,0.006536374,5.7012734,0.98861986,0.17781141,1.0781206,0.6901792,1.2457652,2.7298183,0.4693262,2.9391809,1.9975094,3.4757638,nan,nan,nan,nan,nan,7.448,0.4972886,7.0,7.0,8.0,nan,nan,nan,nan,nan
20,45920,999,151.0796720981598,80000,263,3000,535.157906647181,20.068421499269288,3.0,3.0,459.2,115.71015,500.0,1.0,500.0,-0.04,0.42237428,0.0,-1.0,1.0,0.18,0.38418746,0.0,0.0,1.0,0.00029946177,0.1176632,0.0,-0.5048859,0.5416851,-0.0005104115,0.0024645138,0.0,-0.014492754,0.002,4.09,16.936409,0.0,0.0,132.0,0.49,1.5066187,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.95,125.850815,500.0,57.0,500.0,472.27,91.15435,500.0,48.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.8429704,0.7375677,1.5421351,0.78522,3.5601363,0.021193169,0.011974672,0.016605526,0.011592089,0.06934589,1.8673556,0.743095,1.5421551,1.0245613,3.5755348,-0.024385286,0.16235285,-0.0015894982,-0.87231237,0.37966257,0.060615845,0.26814747,0.0007524553,-0.29785138,1.9096273,0.02424985,0.16211317,0.0015915192,-0.37966257,0.87231237,0.037570246,0.12396024,0.0003694849,1.2871332e-05,1.0460947,-0.0012042563,3.377178e-05,-0.0012005918,-0.0012650097,-0.0011038216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7538296,1.5740317,0.14882271,0.003024615,11.133536,1.2042562,0.033771776,1.2005917,1.1038215,1.2650096,3.3362403,0.112055436,3.3220844,3.0157163,3.5434997,nan,nan,nan,nan,nan,8.104,0.30526057,8.0,8.0,9.0,nan,nan,nan,nan,nan
21,48135,1124,170.00057768821716,90000,284,3375,528.5159292404502,19.81934734651688,3.0,3.0,481.35,83.63593,500.0,1.0,500.0,0.05,0.3570714,0.0,-1.0,1.0,0.13,0.3363034,0.0,0.0,1.0,0.017993681,0.08225672,0.0,-0.03931268,0.5416851,7.5907716e-05,0.00079319876,0.0,-0.0030959751,0.002,6.32,20.365597,0.0,0.0,132.0,0.21,1.1251221,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.45,127.360695,500.0,57.0,500.0,494.93,26.196278,500.0,309.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.7674922,0.6105767,1.8536202,0.6962353,2.832145,0.02051169,0.0077334447,0.019512126,0.008971247,0.03760677,1.7905595,0.61528826,1.8809067,0.8690628,2.8663855,-0.023067474,0.13973424,-0.0035802945,-0.7268214,0.19796559,0.055534992,0.22467,0.0024215877,-0.14673848,1.3595264,0.023122061,0.13972914,0.0035738912,-0.19908263,0.7268385,0.033702344,0.09303271,0.0021930377,2.2398279e-05,0.63415754,-0.0012894084,5.2963656e-05,-0.0012981008,-0.001378755,-0.0011891859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7141967,1.2728767,0.2557762,0.011124259,7.8646255,1.2894083,0.05296365,1.2981007,1.1891859,1.3787549,3.6357663,0.19065753,3.6623561,3.2844486,3.9699562,nan,nan,nan,nan,nan,9.0,0.0,9.0,9.0,9.0,nan,nan,nan,nan,nan
22,47424,1249,188.86643767356873,100000,306,3750,530.0579993578094,19.87717497591785,3.0,3.0,474.24,85.39415,500.0,18.0,500.0,0.0,0.4472136,0.0,-1.0,1.0,0.2,0.40000004,0.0,0.0,1.0,0.0126156695,0.090614714,0.0,-0.34116605,0.5416851,-0.0001511139,0.0014154485,0.0,-0.009259259,0.002,6.38,20.355726,0.0,0.0,132.0,0.49,1.5905659,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.71,127.29141,500.0,57.0,500.0,481.41,64.71678,500.0,74.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.0471846,0.25812867,0.9588834,0.54331034,1.6133944,0.012003616,0.0019082165,0.011687909,0.0083528515,0.016127096,1.0661787,0.2597706,0.9657717,0.63796675,1.6522487,-0.018994216,0.083788805,0.007712055,-0.45296836,0.14021733,0.033876743,0.12694709,-0.008619893,-0.09744807,0.6838041,0.019810041,0.085715815,-0.007701861,-0.14068472,0.4529683,0.015278489,0.043139942,0.00015025883,6.537165e-06,0.23201373,-0.001211786,1.4458938e-05,-0.0012117234,-0.0012531471,-0.0011727376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39049643,0.77137023,0.117166266,0.006258911,4.729993,1.2117859,0.0144589385,1.2117233,1.1727375,1.2531471,3.3599188,0.048495345,3.3592846,3.2308552,3.5017653,nan,nan,nan,nan,nan,9.0,0.0,9.0,9.0,9.0,nan,nan,nan,nan,nan
