Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
494,426,124,6.589107275009155,10000,494,375,1517.6562746106006,56.91211029789752,3.0,3.0,4.26,3.7084227,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-2.8838003e-05,0.00091619766,-4.5456545e-07,-0.009558097,0.003119105,0.0,0.0,0.0,0.0,0.0,0.0001103309,0.0019810277,1.8578396e-05,-0.012712267,0.016993139,-0.00013916889,0.001352649,-1.4971415e-05,-0.013874034,0.003154171,-0.0011078871,0.003622915,-0.0015044522,-0.011296904,0.03159284,0.00049079023,0.0036042263,0.000104162675,-0.00978801,0.032644786,9.966329e-06,3.9173505e-05,8.9517357e-07,1.5832828e-07,0.00055740244,-0.0016086436,3.0706633e-07,-0.0016086935,-0.0016093531,-0.0016079571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015000883,0.0031988742,0.0006037896,8.1940576e-05,0.039315302,1.6086435,0.0003070682,1.6086935,1.607957,1.6093531,4.996031,0.001533835,4.9962797,4.9926014,4.9995747,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
494,520,249,13.556601524353027,20000,988,750,1435.236204312863,53.821357661732364,3.0,3.0,5.2,4.18569,4.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-1.080383e-05,6.846362e-05,-2.9707954e-07,-0.0005128152,0.00014334262,0.0,0.0,0.0,0.0,0.0,-5.346089e-06,0.00014277823,5.4571547e-06,-0.0008892575,0.00049339875,-5.457738e-06,0.00010240609,-1.00223415e-05,-0.00035005616,0.00047770297,-0.0015887972,0.00033375077,-0.0015640274,-0.0035214184,-0.00073257915,1.9993993e-05,0.0003338157,4.4592143e-05,-0.0019134238,0.00087514037,2.4341125e-07,2.3077473e-07,2.0295926e-07,3.5068556e-08,2.90917e-06,-0.0016090345,1.7190854e-07,-0.0016090891,-0.0016092977,-0.0016085907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00029947257,0.00024426132,0.00023952991,5.0803123e-05,0.0023024888,1.6090345,0.00017190575,1.609089,1.6085906,1.6092976,4.9979835,0.00085911155,4.998256,4.995766,4.9992986,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
496,468,374,20.60509181022644,30000,1484,1125,1418.7435315108546,53.20288243165705,3.0,3.0,4.68,3.5493097,4.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-8.286262e-07,3.4304754e-05,-5.2086654e-07,-0.00012721805,0.0002994513,0.0,0.0,0.0,0.0,0.0,-1.2145291e-06,8.227142e-05,-3.0186493e-06,-0.0002863515,0.00035033992,3.8590264e-07,6.064136e-05,-1.7938466e-06,-0.00019069861,0.0002120595,-0.0016030392,0.00023049203,-0.0016007265,-0.002237553,-0.0009989126,6.070393e-06,0.00023050501,8.436819e-06,-0.00062847283,0.00061021035,1.04752814e-07,6.1275436e-08,9.122406e-08,1.1471301e-08,4.084074e-07,-0.0016092145,7.3642035e-08,-0.0016092162,-0.0016093925,-0.0016090337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00022468905,0.00013226089,0.0001893398,2.4910738e-05,0.0007718175,1.6092143,7.3640185e-05,1.6092161,1.6090336,1.6093924,4.9988823,0.00036809978,4.998892,4.9979787,4.9997725,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
491,539,499,27.627139568328857,40000,1975,1500,1424.0860137217753,53.40322551456657,3.0,3.0,5.39,5.2761636,4.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-2.514536e-06,3.6231286e-05,3.4966106e-07,-0.00019030103,0.0002523124,0.0,0.0,0.0,0.0,0.0,-3.906846e-06,6.876064e-05,1.7617829e-06,-0.00024835908,0.00020959837,1.3923108e-06,5.2583866e-05,-7.597224e-07,-0.00015581827,0.00014881059,-0.0016051998,0.00020694463,-0.0016066289,-0.0023104672,-0.00093339186,4.0427835e-06,0.00020695207,2.6361326e-06,-0.0007012447,0.00067560305,6.92059e-08,4.6157417e-08,5.7043028e-08,2.7426927e-10,3.627707e-07,-0.001609312,4.433326e-08,-0.0016093171,-0.001609393,-0.0016091763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00018950588,0.000120353376,0.00016039822,1.8615101e-05,0.00088747276,1.6093118,4.4332257e-05,1.6093171,1.6091762,1.609393,4.9993696,0.00022163498,4.999396,4.998691,4.9997764,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
495,528,624,35.31941747665405,50000,2470,1875,1300.0050335125313,48.75018875671992,3.0,3.0,5.28,3.9014869,4.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-4.859667e-07,1.6451964e-05,-2.5304507e-07,-0.000119327,8.363405e-05,0.0,0.0,0.0,0.0,0.0,1.9627403e-06,4.8171645e-05,1.1649914e-06,-0.00013562466,0.00028311307,-2.4487067e-06,3.7222217e-05,-8.6287037e-07,-0.00019947902,0.00011700131,-0.0016067177,0.00013103789,-0.0016058403,-0.0018844889,-0.0011658797,2.572794e-06,0.00013103672,3.3808367e-06,-0.00027532678,0.00044328673,4.753576e-08,2.7592861e-08,3.962306e-08,8.471611e-09,2.3306241e-07,-0.0016093381,4.6278057e-08,-0.0016093404,-0.0016094152,-0.0016092315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00012915123,6.915379e-05,0.00011227419,2.6069642e-05,0.0005492674,1.6093379,4.6278557e-05,1.6093403,1.6092314,1.609415,4.9995003,0.00023138494,4.9995117,4.998967,4.999885,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
491,546,749,43.93547058105469,60000,2961,2250,1160.624230007649,43.523408625286834,3.0,3.0,5.46,5.335579,4.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,4.687605e-06,2.970979e-05,4.7034587e-07,-5.4389046e-05,0.00020047526,0.0,0.0,0.0,0.0,0.0,7.2369687e-07,4.908064e-05,3.7881778e-06,-0.00021101037,0.00015879927,3.963908e-06,3.9959068e-05,-1.273463e-06,-0.00013127907,0.00017170626,-0.0016142286,0.0001400488,-0.0016048776,-0.0020333836,-0.0010687365,-4.9270616e-06,0.0001400516,4.42625e-06,-0.00042413405,0.00054042035,3.7136637e-08,2.7764608e-08,3.155239e-08,3.0124343e-09,2.2926706e-07,-0.0016093388,4.3575607e-08,-0.001609342,-0.0016094132,-0.0016092111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00013650474,0.00010178048,0.00010473347,2.3031484e-05,0.00065587607,1.6093385,4.3575703e-05,1.609342,1.609211,1.6094131,4.999503,0.00021788952,4.9995203,4.998866,4.9998755,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
497,533,874,52.21890950202942,70000,3458,2625,1207.2280722296045,45.27105270861017,3.0,3.0,5.33,5.2403336,3.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,2.7220522e-06,1.4180703e-05,7.398312e-08,-1.775025e-05,0.00011991715,0.0,0.0,0.0,0.0,0.0,3.644722e-06,2.7448013e-05,1.17812306e-07,-5.8282865e-05,0.00012188712,-9.2267004e-07,2.1447788e-05,8.432351e-07,-7.565361e-05,7.646793e-05,-0.0016055721,8.0178936e-05,-0.0016136365,-0.001784256,-0.0014201633,3.810456e-06,8.0176345e-05,-4.2203174e-06,-0.00017486847,0.00018913402,2.334206e-08,1.4776426e-08,2.0498932e-08,5.5624133e-10,8.702868e-08,-0.0016094059,1.8022627e-08,-0.001609411,-0.001609431,-0.0016093114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00010586195,6.738419e-05,8.797727e-05,1.0861239e-05,0.0003880772,1.6094058,1.8019871e-05,1.6094109,1.6093113,1.6094309,4.9998393,9.010293e-05,4.9998646,4.9993663,4.999965,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
494,451,999,60.561437129974365,80000,3952,3000,1198.6774807317415,44.95040552744031,3.0,3.0,4.51,4.0632377,4.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,1.6009446e-06,1.4859426e-05,1.7508228e-07,-7.420763e-05,9.2407994e-05,0.0,0.0,0.0,0.0,0.0,2.177365e-06,3.243937e-05,2.1438113e-06,-8.8787616e-05,9.858047e-05,-5.764208e-07,2.5500893e-05,-1.6826828e-06,-7.510702e-05,9.600853e-05,-0.0016050357,9.0359536e-05,-0.0015971772,-0.0018713071,-0.0013781431,4.3171412e-06,9.0359856e-05,1.2229688e-05,-0.00026196174,0.00023109853,2.227548e-08,1.264034e-08,1.9701119e-08,9.739415e-12,7.6883765e-08,-0.001609375,3.0526298e-08,-0.001609373,-0.0016094277,-0.0016092578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000117273914,6.2779494e-05,0.0001051434,1.74576e-05,0.00035488012,1.609375,3.0529638e-05,1.609373,1.6092577,1.6094277,4.999686,0.00015262411,4.999675,4.9990993,4.9999495,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
495,484,1124,69.17906498908997,90000,4447,3375,1160.412141657074,43.515455312140276,3.0,3.0,4.84,4.469273,3.5,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-1.4039782e-06,1.3234196e-05,-2.0695707e-07,-5.1630865e-05,5.661245e-05,0.0,0.0,0.0,0.0,0.0,-5.8242663e-06,3.6786027e-05,-2.7106375e-06,-0.00010193824,0.00010018074,4.4202884e-06,2.7254033e-05,1.6391634e-06,-7.951842e-05,7.076356e-05,-0.0016198683,0.000100262165,-0.0016200123,-0.0018642364,-0.0013645791,-1.0512392e-05,0.00010026215,-1.0660108e-05,-0.0002548731,0.00024467206,2.467819e-08,1.5517067e-08,2.3318961e-08,1.2060186e-10,1.13029465e-07,-0.0016093806,2.6624667e-08,-0.0016093833,-0.0016094231,-0.0016092989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00012738195,7.485824e-05,0.00010961421,1.8747218e-05,0.0003791377,1.6093805,2.6624019e-05,1.6093832,1.6092988,1.609423,4.999713,0.00013306603,4.9997272,4.999304,4.999925,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
495,537,1249,81.23131275177002,100000,4942,3750,829.720745616028,31.114527960601052,3.0,3.0,5.37,4.991303,4.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,-8.265839e-07,1.556898e-05,-1.9974149e-07,-9.3214374e-05,8.243424e-05,0.0,0.0,0.0,0.0,0.0,-9.504461e-07,3.731283e-05,-1.5189638e-06,-0.00013526695,0.00013244557,1.2386123e-07,3.3068485e-05,9.71082e-07,-0.00017176103,0.000101814185,-0.0016152685,0.00011115078,-0.0016164513,-0.0019340646,-0.0012379006,-5.905489e-06,0.00011115271,-7.067743e-06,-0.00032469974,0.0003713752,2.145196e-08,2.0393083e-08,1.6780847e-08,6.0714905e-10,2.1342339e-07,-0.0016093844,3.6158927e-08,-0.0016093956,-0.0016094301,-0.001609245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00011933782,8.747936e-05,9.585597e-05,1.03504135e-05,0.0006622007,1.6093844,3.6159436e-05,1.6093955,1.609245,1.60943,4.9997315,0.0001807676,4.999788,4.999036,4.999959,nan,nan,nan,nan,nan,1.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan
