Diagnostics/NewCompletedTrajs,Diagnostics/StepsInTrajWindow,Diagnostics/Iteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumCompletedTrajs,Diagnostics/CumUpdates,Diagnostics/StepsPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Length/Average,Length/Std,Length/Median,Length/Min,Length/Max,EpExtrinsicReward/Average,EpExtrinsicReward/Std,EpExtrinsicReward/Median,EpExtrinsicReward/Min,EpExtrinsicReward/Max,EpNonzeroExtrinsicRewards/Average,EpNonzeroExtrinsicRewards/Std,EpNonzeroExtrinsicRewards/Median,EpNonzeroExtrinsicRewards/Min,EpNonzeroExtrinsicRewards/Max,EpDiscountedExtrinsicReward/Average,EpDiscountedExtrinsicReward/Std,EpDiscountedExtrinsicReward/Median,EpDiscountedExtrinsicReward/Min,EpDiscountedExtrinsicReward/Max,EpAveExtrinsicReward/Average,EpAveExtrinsicReward/Std,EpAveExtrinsicReward/Median,EpAveExtrinsicReward/Min,EpAveExtrinsicReward/Max,visit_freq_a/Average,visit_freq_a/Std,visit_freq_a/Median,visit_freq_a/Min,visit_freq_a/Max,visit_freq_b/Average,visit_freq_b/Std,visit_freq_b/Median,visit_freq_b/Min,visit_freq_b/Max,visit_freq_c/Average,visit_freq_c/Std,visit_freq_c/Median,visit_freq_c/Min,visit_freq_c/Max,visit_freq_d/Average,visit_freq_d/Std,visit_freq_d/Median,visit_freq_d/Min,visit_freq_d/Max,visit_freq_e/Average,visit_freq_e/Std,visit_freq_e/Median,visit_freq_e/Min,visit_freq_e/Max,visit_freq_f/Average,visit_freq_f/Std,visit_freq_f/Median,visit_freq_f/Min,visit_freq_f/Max,visit_freq_g/Average,visit_freq_g/Std,visit_freq_g/Median,visit_freq_g/Min,visit_freq_g/Max,visit_freq_h/Average,visit_freq_h/Std,visit_freq_h/Median,visit_freq_h/Min,visit_freq_h/Max,visit_freq_i/Average,visit_freq_i/Std,visit_freq_i/Median,visit_freq_i/Min,visit_freq_i/Max,first_visit_a/Average,first_visit_a/Std,first_visit_a/Median,first_visit_a/Min,first_visit_a/Max,first_visit_b/Average,first_visit_b/Std,first_visit_b/Median,first_visit_b/Min,first_visit_b/Max,first_visit_c/Average,first_visit_c/Std,first_visit_c/Median,first_visit_c/Min,first_visit_c/Max,first_visit_d/Average,first_visit_d/Std,first_visit_d/Median,first_visit_d/Min,first_visit_d/Max,first_visit_e/Average,first_visit_e/Std,first_visit_e/Median,first_visit_e/Min,first_visit_e/Max,first_visit_f/Average,first_visit_f/Std,first_visit_f/Median,first_visit_f/Min,first_visit_f/Max,first_visit_g/Average,first_visit_g/Std,first_visit_g/Median,first_visit_g/Min,first_visit_g/Max,first_visit_h/Average,first_visit_h/Std,first_visit_h/Median,first_visit_h/Min,first_visit_h/Max,first_visit_i/Average,first_visit_i/Std,first_visit_i/Median,first_visit_i/Min,first_visit_i/Max,return_/Average,return_/Std,return_/Median,return_/Min,return_/Max,intrinsic_rewards/Average,intrinsic_rewards/Std,intrinsic_rewards/Median,intrinsic_rewards/Min,intrinsic_rewards/Max,valpred/Average,valpred/Std,valpred/Median,valpred/Min,valpred/Max,advantage/Average,advantage/Std,advantage/Median,advantage/Min,advantage/Max,loss/Average,loss/Std,loss/Median,loss/Min,loss/Max,pi_loss/Average,pi_loss/Std,pi_loss/Median,pi_loss/Min,pi_loss/Max,value_loss/Average,value_loss/Std,value_loss/Median,value_loss/Min,value_loss/Max,entropy_loss/Average,entropy_loss/Std,entropy_loss/Median,entropy_loss/Min,entropy_loss/Max,inv_loss/Average,inv_loss/Std,inv_loss/Median,inv_loss/Min,inv_loss/Max,forward_loss/Average,forward_loss/Std,forward_loss/Median,forward_loss/Min,forward_loss/Max,reward_total_std/Average,reward_total_std/Std,reward_total_std/Median,reward_total_std/Min,reward_total_std/Max,curiosity_loss/Average,curiosity_loss/Std,curiosity_loss/Median,curiosity_loss/Min,curiosity_loss/Max,gradNorm/Average,gradNorm/Std,gradNorm/Median,gradNorm/Min,gradNorm/Max,entropy/Average,entropy/Std,entropy/Median,entropy/Min,entropy/Max,perplexity/Average,perplexity/Std,perplexity/Median,perplexity/Min,perplexity/Max,rand_dummy_logging/Average,rand_dummy_logging/Std,rand_dummy_logging/Median,rand_dummy_logging/Min,rand_dummy_logging/Max,art_num_classes/Average,art_num_classes/Std,art_num_classes/Median,art_num_classes/Min,art_num_classes/Max,kohonen_dw/Average,kohonen_dw/Std,kohonen_dw/Median,kohonen_dw/Min,kohonen_dw/Max
130,7250,124,21.490034103393555,10000,130,375,465.331974434646,17.449949041299224,3.0,3.0,72.5,138.11673,8.5,1.0,500.0,-0.12,0.3249615,0.0,-1.0,0.0,0.12,0.3249615,0.0,0.0,1.0,-0.029580556,0.10742075,0.0,-0.6689718,0.0,-0.0010160044,0.0035874527,0.0,-0.024390243,0.0,0.0,0.0,0.0,0.0,0.0,0.47,1.2996538,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,459.7,113.1951,500.0,32.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.10841934,0.17880672,0.059974782,-0.33636305,0.5775087,0.003258508,0.0020905382,0.0029136909,0.00030828608,0.018788615,0.10815408,0.17958663,0.06327466,-0.41095573,0.5735625,0.00026525426,0.031885486,0.0052166907,-0.14876658,0.09219298,0.0025286637,0.04507528,-0.006875936,-0.118848145,0.24381907,-5.4024935e-05,0.03744454,-0.005978307,-0.13758601,0.1620439,0.003938694,0.010475572,0.00071212114,2.7295635e-05,0.0844562,-0.0013560057,0.00012336306,-0.0012999814,-0.0016090961,-0.0012475752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13964252,0.19230604,0.079569116,0.005441921,1.5792817,1.3560055,0.123363055,1.2999814,1.247575,1.609096,3.9137747,0.52186143,3.66951,3.4818935,4.998291,nan,nan,nan,nan,nan,4.608,2.9769676,4.0,1.0,10.0,nan,nan,nan,nan,nan
23,17212,249,44.161452293395996,20000,153,750,441.0840078989749,16.54065029621156,3.0,3.0,172.12,210.77455,38.5,1.0,500.0,-0.09,0.37669614,0.0,-1.0,1.0,0.15,0.35707143,0.0,0.0,1.0,-0.020437831,0.12584282,0.0,-0.6689718,0.5048859,-0.00095600425,0.0036205163,0.0,-0.024390243,0.002,1.89,6.333869,0.0,0.0,35.0,0.47,1.2996538,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.36,137.18758,500.0,55.0,500.0,459.7,113.1951,500.0,32.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.13815336,0.058795623,0.1224136,0.05721311,0.3040811,0.0016132606,0.00068614003,0.0014113166,0.0007435036,0.0044989167,0.13764991,0.062221106,0.12050332,0.03732476,0.31077,0.00050346315,0.017018056,0.0005991404,-0.050522037,0.09704507,-9.684976e-05,0.013811164,-0.001263282,-0.063469864,0.05434812,-0.0004992883,0.017048616,-0.00060211617,-0.09712468,0.050522037,0.0013169107,0.0053968607,9.27516e-05,8.9959696e-07,0.04112756,-0.0009144723,0.00022299068,-0.00091027626,-0.0013609511,-0.0006489889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.08011569,0.11115355,0.045639038,0.0028198946,0.9778714,0.91447216,0.22299068,0.91027623,0.64898884,1.3609511,2.5636423,0.6116252,2.4850137,1.9136076,3.89999,nan,nan,nan,nan,nan,11.528,0.6520859,12.0,10.0,12.0,nan,nan,nan,nan,nan
20,26634,374,67.21180844306946,30000,173,1125,433.83277616479097,16.268729106179663,3.0,3.0,266.34,225.20148,261.5,1.0,500.0,-0.06,0.41999996,0.0,-1.0,1.0,0.18,0.38418746,0.0,0.0,1.0,-0.009228901,0.14443977,0.0,-0.6689718,0.5048859,-0.00089600426,0.0036522946,0.0,-0.024390243,0.002,1.99,6.330079,0.0,0.0,35.0,0.47,1.2996539,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.43,149.05289,500.0,55.0,500.0,459.7,113.19511,500.0,32.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.11884907,0.0478092,0.1017037,0.057603993,0.28372,0.0014419632,0.00043914016,0.0013626786,0.0008785006,0.0034425713,0.11870916,0.04879001,0.10124759,0.05646395,0.30749995,0.00013990604,0.013812517,0.00080389855,-0.047600836,0.10700895,-0.0006195248,0.011565326,-0.0017985217,-0.07577466,0.052250873,-0.00015610165,0.013831713,-0.0008129853,-0.10806656,0.047600836,0.000637944,0.0037374895,2.8778004e-05,5.5379667e-07,0.038579326,-0.001101367,8.623468e-05,-0.0010776239,-0.0012722275,-0.00097213854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05892435,0.10185254,0.028664526,0.0023582825,1.0770646,1.101367,0.08623467,1.0776238,0.9721385,1.2722274,3.0207,0.26283056,2.9377074,2.643593,3.5687966,nan,nan,nan,nan,nan,12.944,0.22992171,13.0,12.0,13.0,nan,nan,nan,nan,nan
31,35243,499,90.83931350708008,40000,204,1500,423.2355457297937,15.871332964867266,3.0,3.0,352.43,199.59105,500.0,1.0,500.0,-0.07,0.49507573,0.0,-1.0,1.0,0.25,0.4330127,0.0,0.0,1.0,-0.017607125,0.14712067,0.0,-0.48989028,0.5048859,-0.0010079844,0.0031871558,0.0,-0.013888889,0.002,2.83,8.7932415,0.0,0.0,61.0,0.66,1.4914422,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.45,149.93094,500.0,55.0,500.0,441.17,137.02957,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.085837685,0.116891384,0.09268259,-0.17724106,0.45444745,0.0017731355,0.00063440995,0.0016023029,0.0009389664,0.0041276496,0.085830405,0.11943152,0.09235382,-0.20496826,0.47141686,7.265907e-06,0.029732654,0.0026694536,-0.15955482,0.12736113,0.0036047315,0.041342407,-0.0036251238,-0.09153574,0.30289933,0.0011108688,0.03509417,-0.0026949472,-0.12909307,0.2200756,0.0036877878,0.012105292,0.00016397507,6.002994e-06,0.08418061,-0.0011939242,0.000116144365,-0.0012133489,-0.0013653697,-0.0010030167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13683596,0.22526377,0.058762908,0.0016311643,1.7353185,1.1939242,0.11614436,1.2133489,1.0030167,1.3653696,3.3230784,0.38129035,3.368705,2.726503,3.918909,nan,nan,nan,nan,nan,15.264,1.0209329,16.0,13.0,16.0,nan,nan,nan,nan,nan
23,40339,624,113.96119046211243,50000,227,1875,432.49084057700406,16.218406521637654,3.0,3.0,403.39,171.9836,500.0,1.0,500.0,-0.03,0.4572746,0.0,-1.0,1.0,0.21,0.40730825,0.0,0.0,1.0,-0.0073505975,0.13707472,0.0,-0.48989028,0.5048859,-0.0007033872,0.0028609678,0.0,-0.013888889,0.002,2.83,8.7932415,0.0,0.0,61.0,0.49,1.2922461,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.45,149.93094,500.0,55.0,500.0,457.24,121.209,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.05877417,0.022674745,0.059850983,-0.015337263,0.10681687,0.00085851643,0.0001361947,0.00083305035,0.0004924408,0.0012080914,0.05882066,0.023130158,0.06143732,-0.019410746,0.10870552,-4.6493456e-05,0.005634074,0.0013953897,-0.031896934,0.007222998,-0.0010674101,0.005987694,-0.0026339,-0.00840745,0.032798372,8.5423715e-05,0.0057513826,-0.0013950856,-0.007225738,0.03189693,0.00010643022,0.00043525946,2.032638e-05,2.2289205e-06,0.004547006,-0.001259264,6.279088e-05,-0.0012760585,-0.0013411388,-0.0010860207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.027786309,0.031971596,0.01712429,0.0028614143,0.2846283,1.2592639,0.06279088,1.2760584,1.0860207,1.3411388,3.5299902,0.21252829,3.5824943,2.9624648,3.824501,nan,nan,nan,nan,nan,16.0,0.0,16.0,16.0,16.0,nan,nan,nan,nan,nan
25,39899,749,137.4539556503296,60000,252,2250,425.66296133651895,15.96236105011946,3.0,3.0,398.99,178.67068,500.0,1.0,500.0,-0.06,0.4199999,0.0,-1.0,1.0,0.18,0.38418743,0.0,0.0,1.0,-0.015456936,0.12064676,0.0,-0.48989028,0.48989028,-0.00074341823,0.0027990462,0.0,-0.013888889,0.002,1.03,6.4334364,0.0,0.0,61.0,0.49,1.2922461,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.64,85.141594,500.0,55.0,500.0,458.49,118.88318,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.048398137,0.016200492,0.050931316,-0.01933048,0.07635791,0.0006901535,0.00012857196,0.00066568423,0.00043362443,0.0011814856,0.048453014,0.016964769,0.05147662,-0.024915414,0.07606041,-5.487972e-05,0.0055013876,0.0010932221,-0.04062278,0.010301563,-0.0011878606,0.00581917,-0.0024475462,-0.011575586,0.043053087,5.123479e-05,0.005539164,-0.0010933379,-0.010301563,0.04062278,0.00010703504,0.00048735194,2.4290897e-05,3.30976e-06,0.0045457673,-0.0013461305,2.4928795e-05,-0.0013425772,-0.0013846301,-0.0012851346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.026632126,0.033148285,0.016914977,0.002267241,0.38034186,1.3461305,0.024928793,1.3425771,1.2851346,1.3846301,3.843833,0.095826544,3.8293254,3.6151574,3.9935966,nan,nan,nan,nan,nan,16.0,0.0,16.0,16.0,16.0,nan,nan,nan,nan,nan
21,39651,874,160.3783984184265,70000,273,2625,436.21561933521104,16.358085725070413,3.0,3.0,396.51,177.53876,500.0,1.0,500.0,-0.1,0.38729832,0.0,-1.0,1.0,0.16,0.3666061,0.0,0.0,1.0,-0.028320493,0.097838596,0.0,-0.48989028,0.06179437,-0.0008589739,0.0027996674,0.0,-0.013888889,0.002,0.84,6.371373,0.0,0.0,61.0,0.54,1.3222706,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.02,30.093845,500.0,256.0,500.0,452.09,124.94217,500.0,39.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.036214955,0.036883924,0.040705938,-0.19510065,0.09194941,0.0005829611,0.00016782791,0.00052063214,0.00040114968,0.0012210936,0.036342185,0.037960928,0.040368352,-0.21213308,0.095598534,-0.00012723412,0.014140026,0.0009978834,-0.13840136,0.06275927,-0.0008105249,0.016746176,-0.002241719,-0.06298,0.17780033,0.000107650994,0.013961838,-0.0009977164,-0.06307615,0.13840136,0.0003643174,0.0032133663,1.3140869e-05,8.3701696e-07,0.040772893,-0.0012824935,8.550723e-05,-0.0012719334,-0.0013862555,-0.0011425506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.034721542,0.100827485,0.013366906,0.0013752154,1.2508916,1.2824934,0.08550723,1.2719333,1.1425506,1.3862554,3.6189516,0.3061491,3.569119,3.134757,4.0002522,nan,nan,nan,nan,nan,16.0,0.0,16.0,16.0,16.0,nan,nan,nan,nan,nan
21,43463,999,182.51543521881104,80000,294,3000,451.7316427746237,16.93993660404839,3.0,3.0,434.63,150.3549,500.0,1.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.0062407553,0.042103253,0.0,-0.38878393,0.0,-0.00023781983,0.0012516232,0.0,-0.010526316,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.85199755,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,486.33,64.21481,500.0,77.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.024576044,0.030964676,0.031503584,-0.14169098,0.04749168,0.0005080738,0.00010288626,0.00047596142,0.00038643592,0.0010169402,0.024531825,0.0315032,0.03214164,-0.15694453,0.04798795,4.421682e-05,0.01068655,0.0007215786,-0.110934116,0.015253517,-0.0009526952,0.013995335,-0.0019139908,-0.016415853,0.15419975,5.627945e-06,0.01118594,-0.00072116544,-0.015486905,0.11832972,0.00030560215,0.0029875268,1.534068e-05,1.0179199e-06,0.037240725,-0.0012639253,8.709191e-05,-0.0012858441,-0.0013753128,-0.0010681242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.028126948,0.07392617,0.013446022,0.0013781339,1.0238708,1.2639253,0.087091915,1.2858441,1.0681242,1.3753127,3.5527132,0.30093092,3.6177258,2.9099948,3.9565907,nan,nan,nan,nan,nan,16.0,0.0,16.0,16.0,16.0,nan,nan,nan,nan,nan
23,44156,1124,206.14563369750977,90000,317,3375,423.1873045422969,15.869523920336134,3.0,3.0,441.56,141.94614,500.0,1.0,500.0,-0.05,0.21794495,0.0,-1.0,0.0,0.05,0.21794495,0.0,0.0,1.0,-0.00816458,0.060091466,0.0,-0.5811664,0.0,-0.00031437486,0.0019292587,0.0,-0.018181818,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.81240386,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,485.93,66.834465,500.0,37.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.04053332,0.036649726,0.040392675,-0.1815338,0.113187194,0.0007182417,0.000346325,0.0006032225,0.0003484413,0.0019789825,0.04050142,0.0366645,0.040229183,-0.14305344,0.11624773,3.190934e-05,0.009005478,0.00081279204,-0.068983674,0.024984397,-0.0011542161,0.009981268,-0.002122205,-0.02614036,0.08015649,-1.2097418e-05,0.0090439115,-0.0008122566,-0.024998732,0.06898368,0.00020292016,0.001163005,3.1538995e-05,1.8880366e-06,0.012557705,-0.0013450389,3.2763986e-05,-0.001357063,-0.001386074,-0.0012554264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030500593,0.051062375,0.017098311,0.0016785255,0.6246909,1.3450389,0.032763984,1.3570629,1.2554264,1.386074,3.8404577,0.123147145,3.8850822,3.5093532,3.999281,nan,nan,nan,nan,nan,16.648,0.47759396,17.0,16.0,17.0,nan,nan,nan,nan,nan
23,44976,1249,230.33064675331116,100000,340,3750,413.479206189688,15.5054702321133,3.0,3.0,449.76,126.75591,500.0,1.0,500.0,-0.04,0.1959592,0.0,-1.0,0.0,0.04,0.1959592,0.0,0.0,1.0,-0.008084247,0.06009696,0.0,-0.5811664,0.0,-0.00029358483,0.0019213165,0.0,-0.018181818,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.72187257,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,500.0,500.0,486.22,66.82762,500.0,37.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,500.0,0.0,500.0,500.0,500.0,0.06438467,0.035680786,0.050611936,0.018493958,0.17846729,0.0008624692,0.00042661646,0.0007692944,0.000409979,0.002785242,0.06424074,0.036950722,0.050441623,0.014480991,0.17956102,0.00014393158,0.006924949,0.00051943416,-0.027997354,0.042375904,-0.0013897661,0.0069510317,-0.0018602165,-0.041912686,0.028193042,-0.00014178378,0.0069703185,-0.00052303605,-0.042375904,0.027997354,0.00011613207,0.00030497275,2.8235107e-05,1.8259782e-06,0.00280434,-0.0013641142,1.1250306e-05,-0.0013647769,-0.0013803784,-0.0013394115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02963413,0.03809402,0.016834162,0.0019575432,0.36222973,1.3641142,0.011250301,1.3647768,1.3394114,1.3803784,3.9125407,0.043925237,3.9152808,3.8167996,3.9765325,nan,nan,nan,nan,nan,17.0,0.0,17.0,17.0,17.0,nan,nan,nan,nan,nan
